danger_level,elevation,temperature,wind_speed,humidity,avalanche_act,snow_depth
40.0,2710,3,9,62,0,12.96
40.0,2480,13,35,54,0,15.11
40.0,2350,11,11,60,0,8.75
60.0,2340,-14,26,55,1,15.92
40.0,2730,-13,25,53,0,7.729
40.0,2580,-7,24,67,0,12.56
60.0,2525,-7,22,66,0,3.908
40.0,2965,11,29,59,0,9.01
60.0,2285,-17,19,48,0,12.76
60.0,2500,15,9,60,1,12.9
40.0,2540,-11,10,56,0,15.85
40.0,2618,-7,40,54,0,15.85
40.0,2375,-13,25,62,0,5.787
40.0,2300,12,16,65,0,6.118
40.0,2360,-27,6,62,1,14.89
40.0,2462,-16,16,52,0,5.141
60.0,2599,-8,13,60,0,5.141
40.0,2630,-16,16,50,0,13.5
40.0,2395,-20,11,54,1,2.836
60.0,2373,-23,33,57,0,16.51
40.0,2710,1,20,64,0,7.468
60.0,2780,-34,13,62,0,7.927
40.0,2300,-32,7,57,0,12.5
40.0,2498,13,35,50,0,15.7
60.0,2565,-26,27,54,1,13.7
40.0,2465,-14,36,60,0,17.08
40.0,2380,-27,8,56,0,5.921
60.0,2516,10,31,63,0,12.76
40.0,2460,11,29,57,0,15.99
40.0,2760,-11,23,61,0,12.56
40.0,2400,11,11,56,0,2.613
40.0,2440,13,35,60,1,12.37
60.0,2417,-8,13,57,0,7.927
60.0,2435,10,31,53,0,15.78
60.0,2500,-34,13,63,0,10.28
60.0,2100,11,31,57,0,12.49
60.0,2495,15,15,56,0,12.76
40.0,2542,-11,10,56,1,11.77
40.0,2440,15,19,50,1,5.313
40.0,2360,-24,36,50,0,10.84
40.0,2540,6,31,50,0,17.08
40.0,2365,-20,11,62,0,12.36
40.0,2480,-20,11,60,0,5.59
60.0,2480,0,36,65,1,15.38
40.0,2525,-2,33,67,0,15.44
60.0,2090,-11,36,54,0,9.0
40.0,2140,11,11,50,0,14.64
60.0,2573,-14,26,58,0,12.76
60.0,2470,-4,39,59,1,10.49
60.0,2300,-23,33,63,1,6.939
60.0,2470,-29,8,54,0,16.05
40.0,2525,3,36,58,0,3.286
60.0,2475,-11,36,60,0,3.505
40.0,2447,-16,16,53,0,17.26
40.0,2510,3,7,50,0,16.86
60.0,2605,-4,39,63,0,13.03
40.0,2670,-16,16,57,0,15.62
40.0,2760,-2,33,65,0,5.188
60.0,2230,15,15,54,0,13.37
60.0,2520,-14,7,48,0,15.48
60.0,2365,-27,38,55,0,16.39
60.0,2330,-14,7,63,1,10.28
60.0,2115,-14,7,59,1,16.12
40.0,2510,12,16,60,0,15.99
40.0,2450,-32,7,60,0,5.787
60.0,2590,-7,22,54,1,16.12
40.0,2465,-27,8,62,0,12.79
40.0,2330,-22,12,61,0,5.188
40.0,2447,15,19,50,0,12.64
40.0,2450,-4,35,50,0,16.12
40.0,2410,4,10,61,1,15.11
40.0,2439,11,29,61,0,13.19
40.0,2780,8,24,54,0,12.28
40.0,2750,15,19,60,0,6.659
60.0,2470,-24,10,63,0,15.99
40.0,2447,-7,40,56,0,6.063
60.0,2200,-25,33,59,0,17.26
40.0,2447,-4,35,53,0,10.84
40.0,2525,11,29,56,0,5.866
60.0,2050,11,31,54,0,16.39
60.0,2285,-11,36,53,1,5.044
60.0,2520,15,15,58,0,14.84
40.0,2470,11,29,50,0,16.12
40.0,2405,3,9,62,0,12.5
60.0,2380,-34,7,63,0,16.63
60.0,2560,-34,13,48,0,8.75
60.0,2560,-21,10,56,0,6.6
40.0,2365,-14,36,50,0,16.86
60.0,2573,-11,36,58,0,13.03
40.0,2470,-20,11,58,0,11.46
40.0,2430,-7,24,65,0,15.38
40.0,2465,-2,7,56,0,13.03
40.0,2665,13,35,61,0,13.6
40.0,2752,3,7,67,0,12.28
40.0,2780,-27,6,50,0,5.787
40.0,2500,-11,14,59,0,3.252
40.0,2494,-22,12,59,0,5.335
40.0,2200,2,37,65,0,4.709
60.0,2450,-11,36,68,0,7.927
40.0,2487,11,29,50,0,5.317
40.0,2700,6,31,60,1,3.865
60.0,2380,-23,33,54,0,14.51
40.0,2700,-7,16,62,1,16.63
60.0,2130,-11,36,60,0,7.002
60.0,2417,-34,13,54,0,12.9
40.0,2439,12,37,50,0,15.18
40.0,2560,11,29,63,0,16.19
40.0,2370,-13,25,57,0,3.903
60.0,2280,-24,10,54,0,2.451
60.0,2525,-4,39,62,0,17.26
40.0,2750,-20,11,53,0,14.84
40.0,2080,-7,40,50,0,3.468
40.0,2194,-2,7,61,0,17.08
40.0,2420,-27,6,61,0,12.69
40.0,2740,-16,16,60,0,6.659
40.0,2080,-16,16,62,0,6.34
40.0,2660,-7,40,60,0,6.767
40.0,2390,-7,40,65,0,3.252
40.0,2424,-13,25,67,0,13.63
40.0,2415,13,35,61,0,15.58
40.0,2450,-31,31,58,0,12.76
60.0,2560,-18,13,53,0,11.29
60.0,2520,-29,8,57,0,3.908
40.0,2470,12,16,64,1,6.734
60.0,2500,-34,7,58,0,12.26
60.0,2560,-10,34,60,0,12.22
40.0,2595,15,19,61,0,13.19
40.0,2710,-20,11,56,0,10.84
40.0,2355,-20,11,63,1,12.64
60.0,2490,-32,27,58,0,3.433
40.0,2468,-20,11,50,0,12.76
40.0,2420,-7,24,57,0,13.03
60.0,2200,-8,12,64,0,5.141
40.0,2405,-31,31,59,0,12.96
60.0,2620,-14,7,63,1,13.3
40.0,2330,-7,34,61,0,12.39
40.0,2350,-7,24,61,0,13.7
60.0,2295,-8,12,57,1,17.26
60.0,2160,-11,36,55,1,13.33
40.0,2665,-11,10,58,0,10.02
60.0,2499,-14,7,56,0,6.868
40.0,2520,0,23,61,0,12.77
60.0,2167,-34,13,57,0,8.14
40.0,2381,-11,23,62,0,15.92
40.0,2480,9,16,54,0,15.92
40.0,2394,3,9,59,0,15.25
40.0,2498,8,40,58,0,16.12
60.0,2410,11,31,66,1,17.26
60.0,2516,-26,27,62,0,10.75
40.0,2080,2,37,63,0,3.836
60.0,2560,-27,38,57,0,10.55
60.0,2510,-25,33,56,1,2.169
40.0,2750,8,40,65,0,15.62
60.0,2525,-21,10,65,0,13.13
40.0,2295,2,37,58,0,6.063
40.0,2080,-13,25,57,0,9.01
40.0,2593,-22,12,62,0,12.49
60.0,2465,-11,36,53,0,13.5
60.0,2285,-23,33,54,1,8.87
60.0,2450,-7,22,57,0,11.91
60.0,2367,-25,33,58,1,8.75
60.0,2525,-21,10,59,0,10.28
40.0,2400,-30,9,54,0,7.129
40.0,2525,-16,16,61,0,12.77
40.0,2480,-7,24,65,0,7.934
40.0,2360,11,29,60,0,13.84
60.0,2050,-32,27,53,0,7.934
40.0,2450,-4,35,59,0,16.63
40.0,2390,8,40,59,0,16.12
60.0,2405,-32,27,53,0,12.79
40.0,2338,-20,11,56,0,5.59
40.0,2880,2,37,57,0,12.49
40.0,2465,-20,11,67,0,5.921
40.0,2595,2,37,65,0,6.734
40.0,2140,3,9,57,0,8.68
60.0,2830,-11,36,68,0,12.59
40.0,2380,-7,40,62,0,15.92
40.0,2660,6,31,58,0,15.18
40.0,2410,-27,6,53,1,16.25
40.0,2365,6,31,50,0,4.535
40.0,2400,11,11,63,0,5.241
60.0,2290,-7,22,59,0,3.113
40.0,2140,-7,16,59,0,5.051
40.0,2480,-2,7,62,0,13.77
60.0,2400,-4,39,53,1,12.96
40.0,2762,-2,33,64,0,6.6
40.0,2350,-7,40,61,0,16.51
40.0,2660,-2,7,65,0,15.85
40.0,2520,-7,34,61,0,10.34
60.0,2472,0,36,55,0,7.468
40.0,2430,-16,16,59,0,3.505
40.0,2420,11,29,62,0,12.31
40.0,2965,3,9,59,0,5.044
60.0,2115,-10,34,53,0,5.984
40.0,2540,-22,12,58,0,9.21
60.0,2585,-29,8,48,0,13.14
40.0,2320,-20,11,50,0,3.505
60.0,2340,-7,22,54,1,3.319
40.0,2550,13,35,57,0,5.241
40.0,2405,0,23,63,0,14.64
40.0,2400,-4,35,52,0,13.77
40.0,2440,2,37,60,0,1.696
60.0,2310,-7,22,63,0,6.6
40.0,2410,13,35,61,1,5.59
40.0,2680,-13,25,50,0,10.28
40.0,2465,6,31,50,0,12.59
40.0,2295,-16,16,61,0,13.7
60.0,2585,-32,27,59,0,16.63
60.0,2241,-8,13,57,0,6.767
60.0,2670,-17,19,62,0,9.17
60.0,2508,-7,22,55,0,3.702
40.0,2555,-7,40,53,0,15.92
60.0,2495,-34,13,57,0,12.9
40.0,2410,13,35,57,1,12.59
40.0,2540,13,35,67,0,15.18
40.0,2685,11,11,59,0,12.59
60.0,2370,-4,39,56,0,10.05
40.0,2500,-13,25,50,0,13.03
40.0,2400,-20,11,58,1,15.85
40.0,2450,13,35,64,1,3.836
40.0,2688,-7,40,62,0,3.505
40.0,2447,-13,25,62,0,9.01
40.0,2542,-4,35,56,1,10.56
40.0,2630,1,20,56,0,12.36
60.0,2285,11,31,55,0,3.319
40.0,2568,-32,7,61,0,15.25
40.0,2580,-31,31,52,0,3.595
60.0,2050,14,35,60,0,11.22
60.0,2220,-17,19,63,0,6.659
60.0,2065,-7,22,55,1,16.25
40.0,2094,9,16,67,0,15.99
60.0,2490,-23,33,66,0,10.7
60.0,2335,-11,30,62,1,16.39
40.0,2365,-20,11,50,0,11.96
40.0,2593,-7,40,62,0,12.56
40.0,2210,6,31,62,0,3.113
40.0,2390,6,31,67,0,5.787
40.0,2460,-31,7,50,0,6.659
60.0,2050,-7,22,58,0,4.155
40.0,2410,15,19,50,1,6.939
40.0,2265,11,29,65,0,13.3
40.0,2387,-22,12,56,0,12.76
40.0,2780,-22,12,61,0,15.99
60.0,2505,-23,33,68,0,5.929
60.0,2470,-32,27,56,0,10.28
40.0,2412,-20,11,58,0,2.451
40.0,2688,8,24,65,0,17.62
60.0,2190,10,31,66,1,10.02
60.0,2510,-11,9,54,1,16.86
60.0,2405,-4,39,63,0,17.53
60.0,2475,-4,39,57,0,5.317
40.0,2460,9,16,60,0,15.48
40.0,2735,9,16,56,0,10.28
40.0,2365,-27,6,50,0,13.1
40.0,2447,11,29,62,0,6.324
60.0,2490,-17,19,64,0,16.25
40.0,2415,8,24,59,1,7.129
60.0,2560,-14,7,53,0,13.5
40.0,2660,2,37,56,0,13.32
40.0,1800,-22,12,50,0,13.03
40.0,2375,12,16,52,0,2.836
40.0,2762,-30,9,64,0,4.507
60.0,2335,-18,13,55,1,2.446
40.0,2520,-13,25,61,0,3.602
40.0,2514,13,35,57,0,11.42
60.0,2380,-11,36,58,0,4.579
40.0,2560,2,37,60,0,7.927
60.0,2620,-25,33,66,0,4.155
60.0,2320,-27,38,63,0,5.921
60.0,2450,8,34,68,0,3.903
40.0,2660,11,11,58,0,13.63
60.0,2450,-17,19,66,0,13.66
40.0,2300,-2,7,65,0,10.68
40.0,2760,-31,31,57,1,17.26
40.0,2640,-13,25,62,0,12.09
60.0,2490,-21,10,54,1,3.702
40.0,2468,13,35,61,0,16.86
40.0,2424,-11,23,67,0,2.446
40.0,2490,8,40,56,0,6.063
40.0,2460,-11,10,62,0,12.26
60.0,2573,-17,19,55,0,5.188
40.0,2425,2,37,50,1,5.984
60.0,1760,-4,39,55,0,13.03
40.0,2438,-16,16,59,0,2.446
40.0,2492,-4,35,57,0,13.3
40.0,2635,3,7,60,0,3.319
60.0,2365,-29,8,57,0,12.39
40.0,2447,11,11,61,0,15.31
40.0,2394,11,29,53,0,12.39
40.0,2430,8,40,58,0,6.069
40.0,2015,-7,40,61,0,17.8
40.0,2220,15,19,65,0,5.141
60.0,2480,-4,39,65,1,6.659
40.0,2390,-20,11,50,0,9.95
60.0,2300,-14,7,63,1,15.51
60.0,2465,-11,30,56,0,15.66
60.0,2195,-21,10,62,0,15.51
40.0,2500,-27,6,60,0,6.592
60.0,2508,-13,12,54,0,11.96
40.0,2405,-16,16,59,0,14.58
40.0,2710,12,37,64,0,9.88
60.0,2100,-25,33,55,0,12.23
60.0,2420,-13,12,54,1,3.433
40.0,2500,-22,12,65,1,15.18
40.0,2600,13,35,52,0,15.99
40.0,2439,-22,12,59,0,15.18
60.0,2840,-32,27,63,1,14.51
40.0,2560,2,37,58,1,12.56
40.0,2540,-20,11,61,0,6.391
40.0,2450,3,9,56,0,10.84
60.0,2110,-23,33,62,0,16.51
40.0,2750,2,37,58,0,4.645
40.0,2635,-22,12,63,1,3.505
40.0,2450,3,9,50,0,9.01
60.0,2225,-14,7,58,0,10.84
40.0,2680,8,40,65,0,11.76
40.0,2665,11,11,60,0,11.22
40.0,2360,-7,40,52,0,11.89
40.0,2620,-31,7,56,0,10.49
40.0,2447,11,11,65,0,3.568
40.0,2439,2,37,61,0,15.99
40.0,2422,0,23,60,0,15.31
40.0,2380,-2,7,54,0,11.29
40.0,2462,15,19,62,0,4.373
40.0,2094,-31,31,60,0,12.09
40.0,2387,4,10,60,0,3.505
40.0,2415,-23,35,61,1,11.42
40.0,2780,-11,23,50,0,16.39
40.0,2577,11,29,59,0,6.734
60.0,2730,10,31,66,0,12.76
40.0,2355,8,40,57,1,11.49
40.0,2494,-7,24,61,0,14.54
60.0,2780,-7,22,53,0,10.55
60.0,2490,0,36,64,1,6.767
40.0,2425,-7,40,58,1,3.468
40.0,2600,-27,8,63,1,16.12
40.0,2688,-16,16,60,0,15.18
40.0,2040,-11,14,57,0,12.56
40.0,2680,11,11,59,1,6.6
40.0,2520,-2,33,56,0,12.66
40.0,2580,-16,16,56,0,7.927
60.0,2610,-4,39,63,0,5.335
40.0,2294,2,37,50,1,3.702
40.0,2410,-11,23,59,1,17.62
40.0,2447,-31,31,61,0,3.113
40.0,2447,-31,31,53,0,17.26
40.0,2390,-7,24,58,0,11.69
40.0,2640,-13,25,61,0,13.03
60.0,2505,15,36,58,1,4.507
60.0,2090,-11,36,53,0,12.26
60.0,2770,-29,8,56,1,12.12
40.0,2360,15,19,57,0,5.907
40.0,2415,3,36,58,0,6.767
40.0,2430,-7,40,62,0,5.921
40.0,2595,-22,12,59,1,6.734
40.0,2600,-13,25,57,1,13.1
60.0,2290,-28,14,48,1,10.84
40.0,2447,-27,6,63,0,7.729
60.0,2100,-32,27,57,0,13.03
60.0,2595,-21,10,62,0,7.934
60.0,2379,-27,38,64,1,13.63
40.0,2550,11,29,50,0,11.96
40.0,2430,11,29,54,0,15.44
40.0,2470,-20,11,58,0,10.75
60.0,2450,-14,7,57,0,12.23
60.0,2485,-26,27,63,0,11.76
40.0,2470,-22,12,61,0,15.92
40.0,2500,3,9,54,0,4.512
60.0,2040,-24,10,55,0,4.507
40.0,2600,8,40,50,0,15.78
40.0,2770,3,9,60,0,6.118
60.0,2140,-32,27,63,0,5.335
60.0,2230,-21,10,64,0,11.49
60.0,2280,-29,8,59,0,12.37
40.0,2710,13,35,67,1,15.91
60.0,2247,15,36,64,0,5.59
40.0,2600,-11,14,54,0,4.311
40.0,2680,-7,40,56,1,6.872
40.0,2490,12,37,59,0,2.836
40.0,2350,-11,23,59,0,3.505
60.0,2515,-32,27,55,1,3.908
60.0,2440,-11,36,59,1,6.118
40.0,2403,3,9,65,1,6.324
60.0,2420,-7,22,58,0,6.069
40.0,2880,-22,12,65,0,15.92
60.0,2300,-29,8,48,0,15.92
40.0,2580,-13,25,50,0,15.99
40.0,2500,-4,35,65,0,3.836
40.0,2490,-20,11,62,0,12.96
60.0,2370,-27,38,65,0,17.21
40.0,2760,-16,16,57,0,5.317
40.0,2469,-11,23,50,0,13.24
40.0,2750,-23,35,61,0,6.659
60.0,2400,-25,33,48,0,9.74
60.0,2250,-18,13,55,0,7.934
40.0,2460,1,20,57,0,2.446
40.0,2447,-11,10,62,0,12.9
40.0,2370,-20,11,59,1,3.568
40.0,2450,3,9,52,0,14.84
60.0,2525,-34,7,54,0,11.77
40.0,2400,-27,8,56,0,6.6
40.0,2510,-20,11,61,0,3.319
60.0,2480,-26,27,55,1,16.19
60.0,2520,-26,27,57,0,3.702
40.0,2370,11,11,53,0,4.512
40.0,2494,-13,25,62,0,12.76
40.0,2390,13,35,61,0,16.51
40.0,2568,2,37,63,0,12.77
60.0,1760,-4,39,63,0,13.44
40.0,2220,-31,31,56,0,6.069
40.0,2350,1,20,57,0,16.51
40.0,2630,-16,16,54,0,3.903
40.0,2591,-7,16,61,0,12.36
60.0,2210,-17,19,60,1,4.645
60.0,1830,-26,27,55,0,12.69
40.0,2140,-4,35,58,0,3.595
40.0,2520,11,29,58,0,17.53
40.0,2270,-16,16,67,0,9.95
60.0,2215,-32,27,63,1,11.22
40.0,2338,-11,23,53,0,13.63
40.0,2750,3,9,60,0,14.58
40.0,2680,-22,12,56,1,11.22
40.0,2480,13,35,59,0,12.49
60.0,2305,-27,38,55,1,4.311
60.0,2560,-29,8,55,0,10.55
40.0,2430,-7,24,61,0,5.907
60.0,2320,-24,10,59,0,14.51
60.0,2200,-8,13,63,0,7.002
60.0,2560,-4,39,64,1,13.84
60.0,2250,-21,10,65,0,10.55
40.0,2330,-13,25,64,1,6.391
40.0,2550,3,9,64,0,5.051
40.0,2670,-27,6,60,0,13.84
40.0,2670,-27,6,58,0,13.19
40.0,2040,-22,12,57,0,13.3
60.0,2290,-23,33,56,1,2.451
60.0,2800,-28,14,64,0,6.939
40.0,2540,11,29,53,0,11.96
40.0,2440,11,11,59,0,16.86
40.0,2415,11,29,67,0,10.78
60.0,1970,-21,10,55,0,4.535
60.0,2380,8,34,54,1,17.21
40.0,2210,-11,10,52,0,10.84
60.0,2560,-8,13,56,0,6.659
40.0,2140,6,31,62,0,12.66
40.0,2400,-13,25,53,0,11.42
40.0,2400,-7,40,50,0,15.48
60.0,2685,-32,27,57,0,10.62
40.0,2415,-16,16,50,0,13.14
60.0,2560,-11,36,59,0,17.26
60.0,2280,-32,27,55,0,3.908
60.0,1966,-14,26,66,0,12.09
60.0,2380,15,9,68,1,15.99
40.0,2500,-11,10,56,0,8.47
60.0,2475,-14,26,66,0,12.64
40.0,2540,-4,35,60,0,11.29
60.0,2475,-34,13,59,0,15.48
40.0,2580,12,37,61,0,5.907
40.0,2447,-20,11,64,0,12.23
40.0,2430,-4,35,61,0,13.03
60.0,2580,-18,13,56,0,9.01
40.0,2660,1,20,54,0,12.76
60.0,2580,-7,22,63,1,12.26
60.0,2280,-11,36,62,0,13.66
60.0,2290,-27,38,54,1,3.505
40.0,2465,-31,7,67,0,11.22
40.0,2355,3,9,61,1,2.446
60.0,2295,-4,39,66,1,3.505
40.0,2460,-7,24,56,0,3.252
40.0,2660,11,11,67,0,13.5
60.0,2495,-17,19,56,0,15.92
40.0,2520,-13,25,53,0,5.051
40.0,2447,-14,36,57,0,13.24
40.0,2400,-7,40,65,0,16.19
40.0,2448,2,37,54,0,11.63
40.0,2680,11,29,61,1,17.39
60.0,2485,-34,13,63,0,2.865
40.0,2420,3,9,50,0,12.5
60.0,1970,-14,7,54,0,12.64
60.0,1980,-14,26,59,1,13.44
40.0,2470,8,40,58,0,9.01
60.0,2373,-17,19,66,0,9.94
60.0,2355,-17,19,63,0,13.3
40.0,2760,-24,36,60,1,5.188
40.0,2370,11,29,63,0,13.32
40.0,2540,8,40,63,0,4.373
60.0,2590,-18,13,63,1,15.31
40.0,2580,-31,31,65,0,8.14
40.0,2620,13,35,62,0,17.62
40.0,2390,13,35,52,0,4.709
60.0,2280,-14,7,53,0,13.03
40.0,2460,13,35,62,0,12.09
60.0,2580,-8,13,58,0,16.12
40.0,2387,-7,16,56,0,12.64
40.0,2412,-27,6,65,0,17.26
40.0,2460,-13,25,64,0,3.468
60.0,2420,-24,10,60,0,14.64
40.0,2470,3,9,59,0,16.39
40.0,2400,11,11,61,1,11.96
40.0,2640,-20,11,65,1,2.446
40.0,2140,3,7,57,0,7.927
60.0,2280,-32,27,65,0,7.468
40.0,2447,-13,25,61,0,6.868
40.0,2350,-27,8,62,0,12.49
40.0,2447,13,35,50,0,9.01
40.0,2494,0,23,61,0,3.468
40.0,2640,-7,24,61,0,12.22
60.0,1760,-23,33,56,0,17.53
40.0,2450,-7,40,67,1,14.54
40.0,2513,4,10,56,1,15.25
40.0,2340,0,23,60,0,4.579
40.0,2640,-22,12,53,1,12.63
40.0,2380,-32,7,58,0,3.595
40.0,2420,-4,35,58,0,11.77
40.0,2460,-4,35,54,0,4.507
40.0,2490,-2,7,58,0,5.313
40.0,2447,-16,16,53,0,10.84
40.0,2904,3,9,56,0,14.84
60.0,2560,-23,33,48,1,12.49
40.0,2750,-30,9,64,0,15.92
60.0,2220,-34,13,63,0,14.54
60.0,2450,-7,22,66,0,8.14
40.0,2140,3,9,58,0,17.62
40.0,2460,-31,31,67,0,10.49
40.0,2400,11,29,57,1,11.76
60.0,2221,8,34,56,1,5.313
40.0,2480,2,37,58,0,12.9
40.0,2140,-4,35,61,0,12.76
60.0,2475,15,15,57,0,15.48
60.0,2175,-11,9,64,1,12.77
60.0,2490,-8,13,63,0,11.96
40.0,2740,0,23,58,0,9.88
60.0,2175,-8,12,54,1,5.241
40.0,2210,-31,7,62,0,12.02
40.0,2525,4,10,60,0,12.23
60.0,2560,-11,36,55,0,12.37
40.0,2460,-27,8,65,0,12.77
60.0,2290,-26,27,63,0,11.46
40.0,2560,-31,31,59,1,8.75
40.0,2410,3,9,65,1,15.78
40.0,2465,11,29,62,0,13.3
40.0,2400,8,40,54,0,12.39
60.0,2230,15,9,63,0,9.21
60.0,2241,-25,36,60,0,13.13
60.0,2525,-24,10,63,0,15.99
40.0,2465,15,19,62,0,17.26
40.0,2513,2,37,67,1,8.76
60.0,2560,-18,13,66,1,12.36
40.0,2400,-16,16,57,0,10.84
40.0,2670,13,35,57,0,4.574
60.0,2480,-18,13,63,1,12.64
60.0,2580,-18,13,54,0,5.984
40.0,2139,3,9,60,0,15.91
40.0,2439,11,11,60,0,13.13
60.0,2600,-27,38,66,1,12.37
40.0,2605,13,35,61,0,4.535
40.0,2510,11,11,54,0,4.512
40.0,2478,-16,16,61,0,14.24
60.0,1980,-24,10,62,1,13.66
40.0,2670,3,9,54,0,15.25
40.0,2760,-31,31,61,1,13.35
60.0,2520,10,31,58,0,11.69
40.0,2612,-22,12,58,0,8.76
60.0,2480,-26,27,64,1,4.373
40.0,2470,12,37,59,0,16.63
40.0,2430,-31,7,62,0,9.17
60.0,2380,-34,13,66,1,5.907
60.0,2560,14,35,48,0,5.787
40.0,2400,-14,36,57,0,12.64
40.0,2450,-13,25,57,0,16.63
40.0,2365,3,9,62,0,5.317
60.0,2410,-7,22,64,0,7.468
40.0,2170,3,36,56,0,16.39
40.0,2670,-2,7,53,0,13.14
60.0,2200,-14,7,53,0,11.22
60.0,2587,-34,13,54,1,7.468
60.0,2499,-17,19,48,0,12.39
40.0,2630,6,31,64,0,11.96
60.0,2310,-34,13,55,1,12.23
40.0,2460,4,10,62,0,16.25
60.0,2483,-10,34,55,1,5.241
40.0,2660,-7,24,59,0,4.574
60.0,2730,-17,19,68,0,3.865
40.0,2591,-11,23,61,0,9.94
40.0,2170,3,9,50,0,5.317
40.0,2080,-11,14,58,0,6.767
60.0,2290,-4,39,58,0,3.836
60.0,2350,-11,9,62,0,5.866
40.0,2160,-7,24,64,0,3.836
40.0,2550,-13,25,59,0,6.391
40.0,2529,-31,31,59,0,12.23
40.0,2381,11,29,59,0,5.241
40.0,2635,-20,11,50,0,14.24
60.0,2810,-4,39,66,0,15.18
40.0,2605,4,10,62,0,17.26
40.0,2470,-2,33,56,0,14.84
40.0,2500,-14,36,50,0,13.03
40.0,2510,11,11,65,0,13.3
40.0,2370,-2,33,54,0,13.35
40.0,2760,8,40,61,0,15.92
60.0,2280,-7,22,63,0,12.09
40.0,2050,-2,7,63,0,5.044
60.0,2472,-4,39,59,0,16.51
40.0,2213,4,10,59,0,15.92
40.0,2495,-30,9,65,0,12.9
40.0,2160,-20,11,56,0,4.579
60.0,2435,-34,13,62,0,15.7
60.0,2285,14,35,55,0,15.92
40.0,2710,1,20,62,1,10.78
60.0,2280,-21,10,62,1,4.311
60.0,2470,-7,22,66,0,7.595
40.0,2498,-22,12,61,0,12.96
60.0,2465,-7,22,48,0,12.76
40.0,2210,3,9,50,0,16.12
