Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Elevation (m),Landslide Risk Prediction
26,59,74,56,118,Low
21,68,249,75,787,Low
20,48,243,65,825,Low
35,74,26,69,693,Low
15,32,98,65,862,Low
31,73,212,77,753,Moderate
20,50,122,56,880,Low
22,84,231,80,499,Moderate
24,76,142,53,25,Low
28,48,76,48,524,Low
22,35,128,49,433,Low
35,69,225,73,42,Low
24,71,43,31,972,Low
21,94,155,82,964,High
26,43,247,52,471,Low
16,72,16,48,86,Low
22,45,95,72,131,Low
33,50,245,44,434,Low
22,93,224,28,282,Low
35,38,138,54,119,Low
29,61,39,65,80,Low
31,36,208,21,843,Low
31,31,33,38,615,Low
24,90,190,25,708,Low
20,65,183,41,151,Low
24,33,91,45,755,Low
34,63,134,31,298,Low
33,39,61,42,50,Low
34,86,72,23,802,Low
18,57,25,29,217,Low
33,93,31,40,976,Low
22,56,46,70,258,Low
31,79,81,39,74,Low
21,32,149,56,738,Low
33,42,88,60,133,Low
16,34,71,81,314,Low
24,58,222,68,171,Low
30,37,128,78,310,Low
32,33,191,74,822,Low
17,83,38,25,733,Low
33,68,154,86,842,Low
28,52,31,84,368,Low
20,90,88,24,835,Low
31,70,101,52,603,Low
35,47,131,23,50,Low
18,92,70,61,57,Low
29,69,247,36,845,Low
30,35,91,65,315,Low
20,69,246,31,121,Low
24,91,110,29,995,Low
35,90,23,20,286,Low
17,44,72,21,967,Low
27,50,228,24,105,Low
18,33,3,75,506,Low
27,64,123,24,856,Low
26,30,46,55,906,Low
15,43,79,29,234,Low
24,58,105,79,95,Low
25,34,241,83,270,Low
15,78,224,37,513,Low
23,31,93,71,445,Low
16,74,85,21,790,Low
29,89,56,28,409,Low
15,32,237,24,157,Low
29,78,173,85,480,Moderate
34,33,55,69,468,Low
16,57,225,62,783,Low
23,54,71,60,121,Low
19,86,55,87,134,Low
31,67,149,71,425,Low
17,88,85,21,345,Low
19,69,168,35,803,Low
35,49,167,28,237,Low
29,94,205,73,40,Low
27,47,57,48,644,Low
23,60,186,69,891,Low
34,41,152,75,600,Low
27,90,4,86,726,Low
24,51,37,45,968,Low
26,80,76,69,599,Low
22,59,240,32,285,Low
27,87,82,50,669,Low
30,71,89,71,141,Low
30,70,1,82,633,Low
34,90,20,58,65,Low
27,71,156,32,394,Low
26,55,209,24,162,Low
27,52,222,33,989,Low
25,78,95,58,47,Low
27,64,165,30,501,Low
25,65,46,22,223,Low
22,71,85,42,251,Low
33,50,14,41,352,Low
28,31,196,44,262,Low
24,91,161,27,763,Low
26,95,230,90,617,High
33,53,117,33,311,Low
23,59,236,72,444,Low
17,62,191,65,399,Low
15,44,97,56,533,Low
23,78,167,31,138,Low
21,85,98,74,97,Low
27,67,63,32,452,Low
17,62,94,77,856,Low
22,34,112,89,257,Low
31,81,113,76,202,Moderate
28,74,168,74,113,Low
25,33,117,23,627,Low
23,36,85,47,262,Low
27,58,147,85,37,Low
33,48,22,41,351,Low
15,65,44,25,917,Low
33,50,176,70,524,Low
29,47,152,63,936,Low
22,74,166,87,880,Moderate
30,59,86,57,486,Low
34,52,143,86,590,Low
24,34,53,67,366,Low
29,57,238,79,183,Low
34,87,112,89,626,Moderate
34,81,225,57,845,Low
27,44,56,73,595,Low
30,53,138,43,140,Low
24,43,125,82,880,Low
16,57,197,41,93,Low
23,88,157,51,695,Low
16,55,244,39,26,Low
21,37,237,68,813,Low
24,87,11,80,232,Low
27,89,223,56,359,Low
34,69,238,50,174,Low
33,83,108,70,764,Moderate
25,60,68,60,757,Low
30,37,30,30,937,Low
32,49,139,34,36,Low
30,89,181,30,253,Low
15,91,92,64,318,Moderate
17,60,222,28,425,Low
29,66,141,44,197,Low
29,92,1,68,368,Low
20,95,64,77,438,Low
26,47,180,76,871,Low
33,61,8,64,826,Low
33,86,203,82,568,High
28,42,157,80,210,Low
27,65,144,60,294,Low
30,50,231,76,419,Low
16,56,239,89,684,Low
25,37,56,63,735,Low
34,35,43,82,72,Low
26,72,105,38,809,Low
29,84,5,54,516,Low
27,73,17,69,352,Low
26,59,93,62,606,Low
26,83,94,36,466,Low
21,81,105,24,894,Low
17,55,80,46,265,Low
27,51,122,33,8,Low
21,34,36,31,549,Low
15,58,132,21,309,Low
32,59,79,42,202,Low
33,39,31,28,782,Low
15,71,185,59,640,Low
19,52,223,88,981,Low
15,94,9,32,904,Low
29,32,29,63,282,Low
20,67,6,88,331,Low
23,33,117,45,425,Low
28,56,229,76,50,Low
34,82,125,35,99,Low
24,88,214,72,693,High
35,75,248,38,445,Low
24,32,38,20,778,Low
16,57,57,39,96,Low
27,87,145,54,293,Low
23,30,145,29,181,Low
20,50,19,84,884,Low
16,93,32,80,473,Low
34,91,109,41,924,Low
15,73,154,34,109,Low
32,66,159,32,926,Low
19,80,180,32,958,Low
21,31,30,56,735,Low
26,45,45,35,278,Low
24,35,161,57,227,Low
29,61,25,44,676,Low
15,90,203,50,915,Low
27,51,5,31,590,Low
15,36,130,49,373,Low
21,43,142,88,295,Low
30,84,22,74,767,Low
18,83,239,48,597,Low
32,79,225,75,447,Moderate
18,42,245,83,619,Low
17,31,11,40,894,Low
23,58,197,21,813,Low
28,92,206,63,152,Low
27,84,155,20,574,Low
28,45,248,52,372,Low
31,73,6,26,118,Low
20,32,199,59,181,Low
22,86,218,47,942,Low
20,46,182,66,420,Low
34,62,80,55,826,Low
18,40,101,28,571,Low
21,94,206,46,119,Low
28,80,188,56,617,Low
23,77,96,34,511,Low
22,54,230,77,76,Low
27,68,41,44,263,Low
23,80,97,87,298,Moderate
30,91,121,77,241,Moderate
25,87,126,22,216,Low
31,68,81,88,427,Low
19,41,11,76,114,Low
23,91,111,63,603,Moderate
22,68,236,34,560,Low
22,94,148,49,517,Low
26,79,9,82,602,Low
24,34,36,62,478,Low
32,51,137,61,611,Low
27,92,100,36,975,Low
22,46,77,83,553,Low
27,67,118,45,491,Low
30,46,158,65,345,Low
15,65,45,52,994,Low
28,75,80,30,293,Low
34,91,195,62,444,Moderate
19,49,150,53,135,Low
19,55,36,53,555,Low
19,52,239,88,846,Low
16,47,176,39,875,Low
16,77,173,39,9,Low
15,31,109,41,531,Low
15,69,88,83,857,Low
33,61,202,80,133,Low
22,34,219,64,715,Low
32,60,45,76,62,Low
30,43,115,79,358,Low
24,46,77,59,16,Low
21,73,75,69,843,Low
29,59,10,66,225,Low
26,85,238,72,311,Moderate
23,42,34,67,470,Low
24,50,135,70,521,Low
33,42,42,24,30,Low
27,50,176,25,858,Low
31,50,243,40,524,Low
29,41,69,35,636,Low
27,67,175,76,706,Low
21,80,206,33,521,Low
25,93,3,62,70,Low
18,71,65,25,336,Low
15,31,242,65,379,Low
30,65,232,45,296,Low
15,52,102,34,83,Low
27,47,96,74,45,Low
24,48,239,82,700,Low
15,87,34,88,792,Low
19,80,137,62,441,Moderate
22,58,164,47,387,Low
21,77,94,70,700,Moderate
24,75,156,68,658,Moderate
35,82,35,58,656,Low
18,59,7,64,789,Low
24,48,44,33,519,Low
33,84,135,56,115,Low
29,85,119,36,647,Low
15,93,102,68,751,Moderate
19,63,178,85,39,Low
32,81,106,51,83,Low
17,70,27,54,212,Low
29,46,113,84,192,Low
16,44,135,80,502,Low
16,30,180,76,153,Low
34,63,203,57,271,Low
29,83,247,24,607,Low
15,86,5,83,849,Low
27,56,209,76,252,Low
29,44,99,84,31,Low
26,74,203,22,918,Low
15,55,153,20,52,Low
24,57,95,27,277,Low
17,39,183,51,979,Low
26,89,220,61,359,Moderate
31,45,216,77,795,Low
17,66,179,73,325,Low
28,73,16,34,142,Low
35,41,120,23,500,Low
31,58,32,31,776,Low
34,42,30,73,686,Low
17,59,132,86,398,Low
22,51,18,88,628,Low
29,48,108,50,197,Low
17,36,242,83,991,Low
15,74,79,23,702,Low
22,66,28,78,71,Low
17,51,86,42,164,Low
23,32,113,24,773,Low
35,40,236,51,415,Low
23,82,219,44,280,Low
21,81,211,40,344,Low
27,61,71,70,536,Low
25,50,161,37,736,Low
24,40,242,74,474,Low
19,91,41,36,803,Low
21,58,196,78,236,Low
33,47,44,63,773,Low
27,85,62,84,84,Low
20,61,208,77,454,Low
23,71,212,64,215,Moderate
17,40,85,72,656,Low
18,58,115,24,793,Low
27,72,95,79,599,Moderate
21,68,168,86,266,Low
35,94,6,61,808,Low
23,70,161,60,515,Low
26,37,109,38,697,Low
22,48,220,38,540,Low
21,75,46,52,816,Low
31,54,66,58,80,Low
27,73,62,86,320,Low
35,87,185,31,390,Low
24,92,105,41,357,Low
16,32,51,40,349,Low
15,51,152,55,888,Low
34,48,81,83,708,Low
25,91,18,31,774,Low
18,54,63,66,348,Low
22,35,84,66,672,Low
25,58,24,61,442,Low
34,74,93,47,822,Low
16,73,90,49,435,Low
17,53,101,72,687,Low
29,74,2,79,494,Low
26,39,175,34,85,Low
35,50,130,73,401,Low
20,56,92,46,991,Low
33,34,104,27,263,Low
34,43,135,77,950,Low
26,93,223,54,988,Low
23,91,70,51,903,Low
22,50,143,82,534,Low
29,82,12,38,665,Low
21,43,246,63,379,Low
33,58,91,78,776,Low
32,33,85,50,787,Low
27,82,67,59,429,Low
21,52,201,71,393,Low
16,49,236,49,417,Low
34,88,90,47,457,Low
22,66,53,86,23,Low
35,56,209,70,149,Low
19,38,0,74,759,Low
23,91,108,47,145,Low
17,51,88,81,758,Low
33,92,89,33,501,Low
16,84,13,31,179,Low
29,44,54,72,1,Low
27,55,35,29,797,Low
20,89,92,86,340,Moderate
18,86,42,64,468,Low
33,41,57,50,80,Low
22,44,20,38,538,Low
16,76,71,79,243,Low
33,34,69,69,417,Low
30,36,134,40,517,Low
18,79,26,75,630,Low
35,64,32,56,575,Low
18,56,185,89,138,Low
25,77,134,68,414,Moderate
23,53,16,28,168,Low
31,84,57,52,78,Low
35,95,211,24,81,Low
16,71,19,54,802,Low
29,75,30,78,314,Low
33,88,202,58,695,Low
18,39,158,77,284,Low
17,64,69,38,512,Low
21,42,11,47,994,Low
26,91,100,74,73,Low
29,43,109,72,693,Low
20,68,65,33,985,Low
28,58,238,50,737,Low
16,40,45,68,183,Low
16,77,204,68,888,Moderate
30,31,38,45,450,Low
17,49,229,21,264,Low
28,58,208,40,635,Low
21,31,112,22,489,Low
27,45,202,22,776,Low
29,88,82,74,11,Low
15,95,214,39,317,Low
20,39,213,79,439,Low
24,39,126,54,663,Low
16,79,183,89,202,Moderate
16,75,220,83,562,Moderate
15,49,34,25,531,Low
20,49,190,47,819,Low
25,41,197,35,524,Low
35,74,9,50,516,Low
16,50,14,42,26,Low
24,68,169,65,883,Low
34,30,243,29,94,Low
19,34,36,73,261,Low
33,37,112,79,393,Low
23,63,184,66,129,Low
26,32,65,85,319,Low
33,39,176,42,263,Low
19,39,101,23,468,Low
17,95,224,75,690,High
23,49,248,68,206,Low
31,69,122,35,389,Low
32,39,7,86,925,Low
30,35,7,35,139,Low
34,66,141,45,509,Low
29,64,193,75,359,Low
21,80,60,33,31,Low
33,74,227,82,574,Moderate
33,46,130,51,374,Low
28,52,33,23,170,Low
28,77,14,85,539,Low
25,94,210,33,590,Low
30,63,231,83,566,Low
34,35,88,68,152,Low
18,56,2,23,584,Low
15,70,89,32,171,Low
28,69,214,31,552,Low
28,41,60,80,315,Low
33,54,56,39,607,Low
24,88,113,55,944,Low
25,87,244,67,842,Moderate
27,30,242,44,32,Low
18,33,64,80,959,Low
27,77,120,27,886,Low
20,75,179,51,766,Low
18,85,97,49,561,Low
29,65,125,28,421,Low
25,95,157,75,147,Low
30,73,137,41,431,Low
21,43,13,70,257,Low
32,81,227,80,285,Moderate
19,79,199,24,483,Low
29,81,191,44,330,Low
31,74,241,66,209,Moderate
34,33,6,39,833,Low
23,32,83,38,999,Low
20,82,82,74,67,Low
19,60,154,53,597,Low
17,76,33,75,777,Low
30,61,71,55,285,Low
29,83,4,34,75,Low
19,53,29,79,175,Low
20,44,9,45,577,Low
22,35,180,74,537,Low
21,36,54,62,50,Low
33,73,224,67,471,Moderate
22,69,211,30,199,Low
28,80,215,40,392,Low
29,84,4,37,209,Low
33,58,229,25,891,Low
32,49,64,86,242,Low
25,70,183,41,941,Low
27,72,110,84,958,Moderate
15,84,223,77,695,Moderate
28,65,195,63,176,Low
23,67,169,24,82,Low
18,63,130,23,446,Low
20,42,136,82,579,Low
27,59,186,20,813,Low
30,95,201,87,17,Low
18,93,250,47,132,Low
29,84,88,27,366,Low
17,94,92,73,644,Moderate
18,78,99,52,671,Low
16,39,42,39,671,Low
27,31,162,30,597,Low
30,77,22,48,692,Low
25,80,243,64,895,Moderate
18,51,249,50,623,Low
32,80,134,82,122,Low
27,33,188,35,704,Low
35,54,85,48,835,Low
32,42,58,27,361,Low
22,38,25,24,333,Low
28,32,129,77,284,Low
22,78,150,73,117,Low
28,91,165,66,206,Moderate
32,57,31,70,506,Low
26,65,159,69,602,Low
34,67,22,80,721,Low
35,62,179,21,709,Low
29,33,147,32,825,Low
25,66,212,55,962,Low
21,57,173,26,716,Low
16,35,250,65,934,Low
18,87,173,48,932,Low
19,92,120,54,760,Low
16,51,194,66,189,Low
35,68,132,84,545,Low
25,81,155,70,20,Low
27,54,246,56,436,Low
19,59,102,46,573,Low
25,35,133,21,476,Low
27,93,70,36,39,Low
35,31,223,45,871,Low
25,50,100,65,860,Low
21,45,148,39,143,Low
32,53,23,33,815,Low
18,46,16,26,293,Low
17,58,249,48,772,Low
29,88,88,50,681,Low
18,33,100,87,263,Low
24,94,31,79,110,Low
27,74,206,73,808,Moderate
27,33,49,80,922,Low
15,47,30,32,886,Low
20,65,25,62,367,Low
25,75,68,83,96,Low
24,88,238,42,138,Low
21,43,0,56,272,Low
34,69,200,70,956,Low
20,56,177,78,818,Low
28,45,52,73,599,Low
18,80,146,63,803,Moderate
35,63,242,42,410,Low
16,90,93,82,544,Moderate
20,63,176,20,78,Low
33,95,208,87,4,Low
16,53,119,40,993,Low
29,60,191,68,679,Low
34,81,74,49,378,Low
21,57,208,83,708,Low
23,46,144,83,682,Low
23,47,241,66,222,Low
29,78,139,48,914,Low
34,68,115,65,130,Low
23,38,27,86,757,Low
33,78,32,70,778,Low
33,31,33,90,959,Low
27,95,191,20,69,Low
20,44,83,74,520,Low
33,75,51,66,768,Low
29,86,197,70,827,Moderate
20,76,190,81,752,Moderate
27,44,26,45,356,Low
22,57,214,65,961,Low
15,68,187,21,108,Low
17,83,56,29,263,Low
30,56,176,81,626,Low
33,56,115,38,678,Low
35,62,101,64,247,Low
28,32,2,35,409,Low
18,53,192,72,949,Low
30,43,23,43,943,Low
21,89,0,31,85,Low
21,68,203,71,761,Low
15,63,85,61,608,Low
32,91,29,88,696,Low
28,62,202,43,254,Low
26,76,124,32,840,Low
27,81,34,44,856,Low
27,54,95,57,541,Low
27,51,64,89,952,Low
18,86,242,82,711,High
21,38,154,87,625,Low
25,31,63,70,472,Low
16,60,83,26,705,Low
25,78,7,69,523,Low
27,44,77,73,269,Low
23,36,110,61,39,Low
16,40,1,38,207,Low
28,77,219,43,934,Low
17,94,178,80,482,High
21,47,51,27,784,Low
25,62,82,52,256,Low
19,81,188,29,493,Low
23,50,45,30,845,Low
23,48,133,73,787,Low
25,38,168,55,51,Low
20,85,68,58,655,Low
20,58,18,26,749,Low
20,48,119,48,236,Low
15,91,112,34,424,Low
30,46,49,43,555,Low
15,47,85,33,404,Low
16,76,227,38,936,Low
28,37,18,65,686,Low
30,91,41,72,524,Low
16,61,61,67,982,Low
24,93,200,50,843,Low
31,32,47,38,689,Low
27,56,206,56,684,Low
31,56,208,85,196,Low
29,42,71,75,774,Low
25,81,193,85,930,Moderate
32,83,193,70,6,Low
21,31,111,80,384,Low
24,30,137,29,454,Low
23,41,206,55,157,Low
17,65,230,27,427,Low
20,52,160,88,713,Low
20,80,78,29,233,Low
17,37,5,56,425,Low
16,36,165,50,471,Low
19,78,89,54,229,Low
18,73,149,81,15,Low
24,77,11,64,980,Low
29,84,231,52,411,Low
32,65,172,50,936,Low
19,53,64,83,622,Low
19,77,34,58,422,Low
16,79,200,37,780,Low
21,35,204,86,681,Low
28,82,16,78,402,Low
18,79,101,81,752,Moderate
29,38,104,31,845,Low
19,61,211,44,85,Low
19,88,107,73,39,Low
32,53,220,74,226,Low
30,47,104,40,728,Low
19,90,29,38,311,Low
29,37,169,72,772,Low
35,90,132,63,829,Moderate
20,94,97,28,917,Low
21,40,73,65,945,Low
31,66,182,87,428,Low
19,73,4,90,878,Low
17,75,248,58,900,Low
34,31,76,87,199,Low
24,32,43,20,686,Low
15,71,241,21,466,Low
27,74,41,90,734,Low
17,95,21,41,874,Low
18,64,136,54,219,Low
35,39,44,21,574,Low
28,80,128,26,251,Low
27,48,139,82,783,Low
30,48,40,50,929,Low
27,68,39,89,695,Low
35,33,128,66,319,Low
28,51,121,78,960,Low
34,77,63,38,501,Low
17,53,93,28,130,Low
35,31,112,70,547,Low
20,51,45,30,377,Low
23,67,155,58,389,Low
26,61,233,90,50,Low
21,92,7,82,899,Low
26,79,130,61,993,Moderate
24,92,30,24,406,Low
24,34,162,41,408,Low
30,35,237,83,655,Low
24,77,19,21,358,Low
25,78,81,46,102,Low
31,43,230,79,671,Low
19,38,192,38,423,Low
19,95,179,22,418,Low
16,70,158,42,431,Low
34,47,110,84,95,Low
28,62,17,89,618,Low
30,82,94,59,308,Low
18,93,73,52,987,Low
32,49,0,33,12,Low
25,44,115,38,137,Low
21,68,142,88,775,Low
32,74,48,44,598,Low
32,42,153,50,114,Low
21,76,66,83,702,Low
26,47,107,43,107,Low
19,76,232,56,342,Low
30,70,223,35,170,Low
27,77,15,42,485,Low
22,74,224,61,936,Moderate
22,91,8,27,734,Low
26,76,194,71,50,Low
16,43,223,24,603,Low
21,53,151,21,365,Low
15,70,98,50,489,Low
21,45,158,29,961,Low
20,33,56,80,514,Low
26,87,51,37,552,Low
24,33,49,45,597,Low
19,67,226,20,546,Low
18,74,9,79,911,Low
35,84,171,39,755,Low
23,50,52,24,975,Low
24,31,155,63,552,Low
17,67,144,89,272,Low
22,37,62,26,327,Low
35,90,7,41,507,Low
33,74,105,26,27,Low
31,60,114,83,880,Low
18,53,146,71,266,Low
15,45,245,48,282,Low
31,58,115,78,495,Low
29,47,10,87,859,Low
17,73,53,54,587,Low
18,46,53,59,206,Low
28,34,180,35,422,Low
16,83,113,66,780,Moderate
26,44,227,42,488,Low
32,40,48,31,160,Low
24,72,56,88,922,Low
29,64,120,23,718,Low
23,81,186,74,774,Moderate
17,32,8,37,13,Low
27,69,168,35,387,Low
35,93,245,29,394,Low
33,75,157,22,192,Low
29,51,198,63,874,Low
34,57,142,55,143,Low
28,53,141,72,766,Low
21,79,216,61,840,Moderate
25,48,138,42,81,Low
35,45,52,37,8,Low
21,90,227,66,181,Low
17,81,65,52,403,Low
23,72,152,68,613,Moderate
16,55,84,82,525,Low
22,86,130,38,830,Low
31,36,47,24,82,Low
22,47,85,68,797,Low
26,75,170,46,391,Low
20,32,45,32,859,Low
22,93,131,52,172,Low
19,51,170,62,547,Low
34,65,135,35,536,Low
25,37,201,40,478,Low
31,90,129,68,93,Low
33,95,65,84,427,Low
29,77,63,36,320,Low
16,80,44,47,85,Low
29,66,59,89,552,Low
20,89,50,87,320,Low
35,39,84,65,197,Low
25,33,34,27,759,Low
30,78,167,82,219,Moderate
